PDS_VERSION_ID         = PDS3
RECORD_TYPE            = STREAM
OBJECT                 = TEXT
  PUBLICATION_DATE     = 2004-12-07
  INTERCHANGE_FORMAT   = ASCII
  NOTE                 = "WAC optics transmission functions."
END_OBJECT             = TEXT
END
    
   TRANSMISSION OF THE CASSINI FLIGHT
 WIDE ANGLE CAMERA (WAC) OPTICAL SYSTEM
AS MEASURED IN THE UV OPTICS CAL FACILITY
         Brad D Wallis
         Ken S Manatt
       August 5-11 1995
        February 24 1997
  ******FINAL FINAL FINAL******
 (AFTER correction for QTZ spacers and scattered light) 

\begindata      
      390.000   0.00712497
      392.500    0.0227316
      395.000    0.0399354
      397.500    0.0587102
      400.000    0.0797417
      402.500     0.103947
      405.000     0.131734
      407.500     0.162938
      410.000     0.197132
      412.500     0.234940
      415.000     0.275205
      417.500     0.311944
      420.000     0.349586
      422.500     0.393934
      425.000     0.427976
      427.500     0.463117
      430.000     0.495747
      432.500     0.525481
      435.000     0.562746
      437.500     0.577603
      440.000     0.598033
      442.500     0.622478
      445.000     0.642025
      447.500     0.656104
      450.000     0.668836
      452.500     0.681026
      455.000     0.692338
      457.500     0.700499
      460.000     0.709394
      462.500     0.718559
      465.000     0.725693
      467.500     0.730294
      470.000     0.733255
      472.500     0.734235
      475.000     0.736712
      477.500     0.739171
      480.000     0.741533
      482.500     0.744193
      485.000     0.745977
      487.500     0.747869
      490.000     0.748602
      492.500     0.748416
      495.000     0.749029
      497.500     0.749302
      500.000     0.750086
      502.500     0.750767
      505.000     0.751649
      507.500     0.752433
      510.000     0.753050
      512.500     0.753308
      515.000     0.753704
      517.500     0.755539
      520.000     0.755608
      522.500     0.756382
      525.000     0.755976
      527.500     0.754947
      530.000     0.754492
      532.500     0.753012
      535.000     0.751759
      537.500     0.750851
      540.000     0.749334
      542.500     0.747904
      545.000     0.747416
      547.500     0.746570
      550.000     0.746004
      552.500     0.745390
      555.000     0.745099
      557.500     0.744729
      560.000     0.743781
      562.500     0.744058
      565.000     0.743895
      567.500     0.743333
      570.000     0.742693
      572.500     0.741945
      575.000     0.742037
      577.500     0.742390
      580.000     0.743133
      582.500     0.744592
      585.000     0.745351
      587.500     0.745897
      590.000     0.745149
      592.500     0.744225
      595.000     0.742661
      597.500     0.741468
      600.000     0.740442
      602.500     0.740064
      605.000     0.740444
      607.500     0.741250
      610.000     0.741576
      612.500     0.741865
      615.000     0.741709
      617.500     0.742867
      620.000     0.743620
      622.500     0.743879
      625.000     0.743525
      627.500     0.742669
      630.000     0.741005
      632.500     0.738993
      635.000     0.737015
      637.500     0.734357
      640.000     0.732288
      642.500     0.729985
      645.000     0.727255
      647.500     0.724240
      650.000     0.721265
      652.500     0.718074
      655.000     0.716400
      657.500     0.715486
      660.000     0.713094
      662.500     0.707873
      665.000     0.702052
      667.500     0.697514
      670.000     0.693512
      672.500     0.689583
      675.000     0.685293
      677.500     0.680113
      680.000     0.674987
      682.500     0.669288
      685.000     0.662933
      687.500     0.656672
      690.000     0.651281
      692.500     0.646348
      695.000     0.641890
      697.500     0.638134
      700.000     0.634222
      702.500     0.629523
      705.000     0.623680
      707.500     0.617528
      710.000     0.610454
      712.500     0.601536
      715.000     0.593337
      717.500     0.585409
      720.000     0.578379
      722.500     0.571856
      725.000     0.565401
      727.500     0.559096
      730.000     0.552861
      732.500     0.546008
      735.000     0.538516
      737.500     0.530038
      740.000     0.520918
      742.500     0.511913
      745.000     0.504012
      747.500     0.498225
      750.000     0.492536
      752.500     0.486219
      755.000     0.479375
      757.500     0.472479
      760.000     0.464118
      762.500     0.454553
      765.000     0.443188
      767.500     0.432247
      770.000     0.422417
      772.500     0.414454
      775.000     0.407985
      777.500     0.402079
      780.000     0.397545
      782.500     0.393959
      785.000     0.390366
      787.500     0.385768
      790.000     0.381067
      792.500     0.375299
      795.000     0.368807
      797.500     0.361089
      800.000     0.352683
      802.500     0.344553
      805.000     0.336478
      807.500     0.328055
      810.000     0.319875
      812.500     0.311787
      815.000     0.304202
      817.500     0.296556
      820.000     0.289043
      822.500     0.282377
      825.000     0.276100
      827.500     0.270480
      830.000     0.265169
      832.500     0.259885
      835.000     0.255035
      837.500     0.250913
      840.000     0.247224
      842.500     0.243221
      845.000     0.238979
      847.500     0.234505
      850.000     0.230216
      852.500     0.226249
      855.000     0.222377
      857.500     0.217885
      860.000     0.213225
      862.500     0.208692
      865.000     0.204230
      867.500     0.199886
      870.000     0.195510
      872.500     0.191411
      875.000     0.187067
      877.500     0.182600
      880.000     0.178145
      882.500     0.173895
      885.000     0.169856
      887.500     0.166068
      890.000     0.162756
      892.500     0.159861
      895.000     0.157103
      897.500     0.154792
      900.000     0.152505
      902.500     0.150339
      905.000     0.148244
      907.500     0.146102
      910.000     0.143897
      912.500     0.141603
      915.000     0.139176
      917.500     0.136589
      920.000     0.134034
      922.500     0.131460
      925.000     0.128902
      927.500     0.126390
      930.000     0.123945
      932.500     0.121678
      935.000     0.119615
      937.500     0.117648
      940.000     0.115814
      942.500     0.114088
      945.000     0.112348
      947.500     0.110662
      950.000     0.108885
      952.500     0.107143
      955.000     0.105364
      957.500     0.103644
      960.000     0.101817
      962.500     0.100048
      965.000    0.0982311
      967.500    0.0964145
      970.000    0.0946280
      972.500    0.0928785
      975.000    0.0910693
      977.500    0.0893278
      980.000    0.0875891
      982.500    0.0858167
      985.000    0.0841241
      987.500    0.0824661
      990.000    0.0808593
      992.500    0.0793609
      995.000    0.0779913
      997.500    0.0766841
      1000.00    0.0755153
      1002.50    0.0744007
      1005.00    0.0733873
      1007.50    0.0724537
      1010.00    0.0716057
