PDS_VERSION_ID         = PDS3
RECORD_TYPE            = STREAM
OBJECT                 = TEXT
  PUBLICATION_DATE     = 2004-12-07
  INTERCHANGE_FORMAT   = ASCII
  NOTE                 = "NAC optics transmission functions."
END_OBJECT             = TEXT
END
    
Wavelength (nm) Transmission   Estimated Error
\begindata
      200.000       0.589031   +/- 0.04-0.05
      202.500       0.597175   +/- 0.04-0.05
      205.000       0.585817   +/- 0.04-0.05
      207.500       0.584288   +/- 0.04-0.05
      210.000       0.585239   +/- 0.04-0.05
      212.500       0.593266   +/- 0.04-0.05
      215.000       0.596172   +/- 0.04-0.05
      217.500       0.593503   +/- 0.04-0.05
      220.000       0.587889   +/- 0.04-0.05
      222.500       0.580501   +/- 0.04-0.05
      225.000       0.572899   +/- 0.04-0.05
      227.500       0.566480   +/- 0.04-0.05
      230.000       0.561569   +/- 0.04-0.05
      232.500       0.557681   +/- 0.04-0.05
      235.000       0.554367   +/- 0.04-0.05
      237.500       0.553247   +/- 0.04-0.05
      240.000       0.554881   +/- 0.04-0.05
      242.500       0.559089   +/- 0.04-0.05
      245.000       0.564825   +/- 0.04-0.05
      247.500       0.570852   +/- 0.04-0.05
      250.000       0.576946   +/- 0.04-0.05
      252.500       0.583431   +/- 0.04-0.05
      255.000       0.590012   +/- 0.04-0.05
      257.500       0.596666   +/- 0.04-0.05
      260.000       0.602743   +/- 0.04-0.05
      262.500       0.608429   +/- 0.04-0.05
      265.000       0.613326   +/- 0.04-0.05
      267.500       0.617884   +/- 0.04-0.05
      270.000       0.620065   +/- 0.04-0.05
      272.500       0.622165   +/- 0.04-0.05
      275.000       0.623173   +/- 0.04-0.05
      277.500       0.626585   +/- 0.04-0.05
      280.000       0.630234   +/- 0.04-0.05
      282.500       0.632752   +/- 0.04-0.05
      285.000       0.634101   +/- 0.04-0.05
      287.500       0.635113   +/- 0.04-0.05
      290.000       0.635395   +/- 0.04-0.05
      292.500       0.636165   +/- 0.04-0.05
      295.000       0.635706   +/- 0.04-0.05
      297.500       0.634881   +/- 0.04-0.05
      300.000       0.631277   +/- 0.02
      302.500       0.630190   +/- 0.02
      305.000       0.630856   +/- 0.02
      307.500       0.629363   +/- 0.02
      310.000       0.627325   +/- 0.02
      312.500       0.625605   +/- 0.02
      315.000       0.624962   +/- 0.02
      317.500       0.625785   +/- 0.02
      320.000       0.625758   +/- 0.02
      322.500       0.625456   +/- 0.02
